,image,label
0,0.png,hOnEY
1,1.png,algorIthm
2,2.png,ziPCoDE
3,3.png,LighTHouSE
4,4.png,KItE
5,5.png,PRiNTer
6,6.png,DOlphiN
7,7.png,nEtWOrk
8,8.png,FIreflY
9,9.png,NOteboOk
10,10.png,MArAthon
11,11.png,gAZElLe
12,12.png,SCoRpIon
13,13.png,AvAlANche
14,14.png,FlamInGo
15,15.png,mETEor
16,16.png,JUnglE
17,17.png,plANet
18,18.png,XerOX
19,19.png,yeLlow
20,20.png,InFinITy
21,21.png,DATaBaSe
22,22.png,OrION
23,23.png,oRACLE
24,24.png,XyleM
25,25.png,LIghtNINg
26,26.png,glaCIER
27,27.png,BaNanA
28,28.png,DyNAMO
29,29.png,viRtuaL
30,30.png,FIRmwArE
31,31.png,jUnglE
32,32.png,Xerox
33,33.png,jAvasCrIpt
34,34.png,rocKet
35,35.png,MetEOr
36,36.png,yEaRBOoK
37,37.png,HarmoNy
38,38.png,orANge
39,39.png,obSiDian
40,40.png,bluEtOotH
41,41.png,PEACOCk
42,42.png,WOMbAT
43,43.png,ouTput
44,44.png,IGLOo
45,45.png,baNana
46,46.png,YeArBOok
47,47.png,UNIcorn
48,48.png,dOg
49,49.png,JUGGLeR
50,50.png,kITe
51,51.png,OBsidiaN
52,52.png,dEBuG
53,53.png,vuLtuRE
54,54.png,RoUteR
55,55.png,aValAncHe
56,56.png,jelLyFISH
57,57.png,UranUS
58,58.png,suNFlower
59,59.png,OBsIDIaN
60,60.png,AmBEr
61,61.png,venuS
62,62.png,QuaSAr
63,63.png,EAGLE
64,64.png,webpAgE
65,65.png,GaLAxy
66,66.png,snAke
67,67.png,ENIGma
68,68.png,fossil
69,69.png,rEbOoT
70,70.png,quilt
71,71.png,tigER
72,72.png,JIGSaw
73,73.png,wHALE
74,74.png,YeARboOK
75,75.png,KeRnEL
76,76.png,VOLcANo
77,77.png,BlaCkHOLe
78,78.png,haCker
79,79.png,PYTHon
80,80.png,KalEiDoSCopE
81,81.png,pEaR
82,82.png,UniCorn
83,83.png,vuLTuRe
84,84.png,FIREwalL
85,85.png,saTuRn
86,86.png,YoNDer
87,87.png,YaK
88,88.png,YearbooK
89,89.png,baLLet
90,90.png,java
91,91.png,juNGle
92,92.png,ninja
93,93.png,apPle
94,94.png,RHiNoceROs
95,95.png,NoDeJs
96,96.png,foUntAiN
97,97.png,quIlT
98,98.png,pHOEnix
99,99.png,AnChoR
100,100.png,VOyaGE
101,101.png,TurtLe
102,102.png,IGlOo
103,103.png,iOs
104,104.png,aNchOR
105,105.png,diaMOnD
106,106.png,MoNkey
107,107.png,OrIon
108,108.png,yeti
109,109.png,NotEbOoK
110,110.png,umbrella
111,111.png,ziPCoDE
112,112.png,Iceberg
113,113.png,acrObAt
114,114.png,termInaL
115,115.png,ORION
116,116.png,qUAsar
117,117.png,aCRobat
118,118.png,GIraFfe
119,119.png,IgLoo
120,120.png,bANaNa
121,121.png,mAlware
122,122.png,GlaCIER
123,123.png,WATer
124,124.png,wEbPAgE
125,125.png,VulTUrE
126,126.png,EnIgmA
127,127.png,xYlEM
128,128.png,crYSTaL
129,129.png,LinUx
130,130.png,vIoLeT
131,131.png,vulture
132,132.png,BallEt
133,133.png,UtopiA
134,134.png,fIRMWARe
135,135.png,HACkeR
136,136.png,ZENITh
137,137.png,pARAdOx
138,138.png,fIrMwarE
139,139.png,ZenIth
140,140.png,uRAnUS
141,141.png,niNjA
142,142.png,cANdLE
143,143.png,LiGhtHOUsE
144,144.png,FIRewAlL
145,145.png,VOlCANO
146,146.png,XyLOPHONe
147,147.png,gYMNAST
148,148.png,TeLesCope
149,149.png,HACkEr
150,150.png,RidDle
151,151.png,VIoLET
152,152.png,FIRMwaRE
153,153.png,fiReWalL
154,154.png,dyNAmo
155,155.png,GymnAST
156,156.png,hOUSE
157,157.png,alpHaBet
158,158.png,yONDER
159,159.png,FiRMwaRE
160,160.png,xMl
161,161.png,PEAR
162,162.png,ZePHyr
163,163.png,OranGe
164,164.png,XYLeM
165,165.png,ZigZAg
166,166.png,qUIcKsand
167,167.png,DOg
168,168.png,fIreWaLL
169,169.png,zIPCODE
170,170.png,dynAMO
171,171.png,foX
172,172.png,nEBULa
173,173.png,TErmINAL
174,174.png,ThUNDER
175,175.png,ECLipSe
176,176.png,ZIGzag
177,177.png,SeRveR
178,178.png,dynaMO
179,179.png,sCoRpioN
180,180.png,QUEEn
181,181.png,zoDiaC
182,182.png,xYLoPHOne
183,183.png,yeaRBoOK
184,184.png,GyMNAst
185,185.png,galAXy
186,186.png,hArMoNY
187,187.png,RhiNOcerOS
188,188.png,LApTop
189,189.png,YOUtuBE
190,190.png,meTEor
191,191.png,CyPher
192,192.png,YeLlOW
193,193.png,galaxy
194,194.png,fosSIl
195,195.png,dAndELION
196,196.png,wHiSPer
197,197.png,rEbOoT
198,198.png,hOUSE
199,199.png,fouNTAiN
200,200.png,VOlcAnO
