,image,label
0,0.png,quOkkA
1,1.png,ORAnGE
2,2.png,debUg
3,3.png,woMbat
4,4.png,ScOrpioN
5,5.png,BALlEt
6,6.png,CRyStaL
7,7.png,QUASAr
8,8.png,iNfinitY
9,9.png,dOg
10,10.png,hOUse
11,11.png,jEllYfISh
12,12.png,DyNAMo
13,13.png,gUItar
14,14.png,mALwARE
15,15.png,HOLoGRam
16,16.png,dOg
17,17.png,yELloW
18,18.png,TeleSCoPe
19,19.png,THUnder
20,20.png,YONDEr
21,21.png,juGGLer
22,22.png,HaRMONy
23,23.png,InTeRnet
24,24.png,Utopia
25,25.png,mETeoR
26,26.png,zODIAc
27,27.png,QuAntUM
28,28.png,BubbLe
29,29.png,SerVer
30,30.png,fossIL
31,31.png,FIRewall
32,32.png,BUbBLE
33,33.png,FEstiVaL
34,34.png,VOyAge
35,35.png,ThUNDeR
36,36.png,TigeR
37,37.png,TURtLe
38,38.png,nARwhAl
39,39.png,HONey
40,40.png,nEUtRoN
41,41.png,kIte
42,42.png,WAtEr
43,43.png,QuanTum
44,44.png,htMl
45,45.png,ROuTer
46,46.png,UtOpiA
47,47.png,nOTebOok
48,48.png,lINux
49,49.png,AMber
50,50.png,Fox
51,51.png,gLaCiER
52,52.png,noDejs
53,53.png,gIraffe
54,54.png,FIREFLY
55,55.png,enCRYPT
56,56.png,eNIgma
57,57.png,MaLwAre
58,58.png,nODEjS
59,59.png,fIREWalL
60,60.png,KEybOArd
61,61.png,ApPle
62,62.png,uRchiN
63,63.png,nEbUlA
64,64.png,dolPhIn
65,65.png,uniCOrn
66,66.png,hACker
67,67.png,Xylem
68,68.png,uTOPia
69,69.png,QUEry
70,70.png,MuSHrOom
71,71.png,viOlet
72,72.png,octoPUs
73,73.png,pArADOx
74,74.png,dANdElIon
75,75.png,crYSTAl
76,76.png,oRaNGE
77,77.png,GiraffE
78,78.png,JelLYFish
79,79.png,syntAX
80,80.png,wIZaRD
81,81.png,bANana
82,82.png,ACrobaT
83,83.png,RelIc
84,84.png,SCOrPION
85,85.png,foX
86,86.png,InfInitY
87,87.png,uraNUs
88,88.png,uRaNUs
89,89.png,FirEFlY
90,90.png,kaLEIDoScoPE
91,91.png,CArNIVAl
92,92.png,BluEtooTH
93,93.png,rHInoCeros
94,94.png,FestivAL
95,95.png,OriON
96,96.png,ViRTuAL
97,97.png,KAnGAROo
98,98.png,fIrMwAre
99,99.png,MEtEOR
100,100.png,rOUTeR
101,101.png,QuEEn
102,102.png,JupITer
103,103.png,jAckEt
104,104.png,uMBrelLA
105,105.png,kalEiDosCope
106,106.png,ReBoOT
107,107.png,teRMinaL
108,108.png,binARy
109,109.png,KiTE
110,110.png,PEAr
111,111.png,yEarboOk
112,112.png,MIRAge
113,113.png,GAzElLE
114,114.png,vIOlet
115,115.png,nOdeJS
116,116.png,YEARbOOk
117,117.png,aLGoRIThm
118,118.png,oCTOpus
119,119.png,XylEm
120,120.png,turtle
121,121.png,EtHeRNeT
122,122.png,oraCLE
123,123.png,hoRIzoN
124,124.png,cHErRY
125,125.png,CATErpIlLar
126,126.png,RoUter
127,127.png,CARniVaL
128,128.png,flAMinGo
129,129.png,iNFInitY
130,130.png,wEBpAge
131,131.png,feStiVAl
132,132.png,catErpILLAR
133,133.png,iNfiNItY
134,134.png,hARMOny
135,135.png,musHRoOm
136,136.png,buBbLe
137,137.png,kOAla
138,138.png,PeACoCk
139,139.png,inTeRneT
140,140.png,gALAxY
141,141.png,OBSIdiAn
142,142.png,yonDer
143,143.png,RABBit
144,144.png,iOs
145,145.png,MoNkeY
146,146.png,cherRY
147,147.png,JuPITer
148,148.png,kernel
149,149.png,DUNGeon
150,150.png,RabbIT
151,151.png,ENCrYPT
152,152.png,DandelION
153,153.png,KoaLA
154,154.png,caNdlE
155,155.png,CInNamON
156,156.png,DUNgeoN
157,157.png,kEYboARD
158,158.png,PAradOX
159,159.png,blIzzARD
160,160.png,wOmBAT
161,161.png,yOnDER
162,162.png,wOMbAT
163,163.png,ViRtUaL
164,164.png,JupItER
165,165.png,JUPiTEr
166,166.png,InFiNITY
167,167.png,ElEPHanT
168,168.png,binARY
169,169.png,thundEr
170,170.png,anDROiD
171,171.png,PEAcOck
172,172.png,treAsUre
173,173.png,NEutrOn
174,174.png,TurTle
175,175.png,miRAGe
176,176.png,WEbpAGe
177,177.png,xylOpHoNE
178,178.png,zoDiaC
179,179.png,koAlA
180,180.png,amBer
181,181.png,kEyBOaRD
182,182.png,FiREWall
183,183.png,metEOr
184,184.png,LiGHTNInG
185,185.png,UNiCoRn
186,186.png,marAThon
187,187.png,EAglE
188,188.png,snake
189,189.png,etheRnET
190,190.png,jUNGLe
191,191.png,HOuse
192,192.png,dATABaSe
